"OPENSECRETS.INDUSTRY","YEAR","STATE","FIRST","LAST","DISTRICT","CANDIDATE","PARTY","AMOUNT","INDUSTRYPERCENT","CANDTOTAL","INCUMBENT","VOTES","PERCENT","PRIMARY.INDUSTRY","SECONDARY.INDUSTRY1","SECONDARY.INDUSTRY2","SECONDARY.INDUSTRY3","WINNER","indrank","TotalRaceFunds","RaceFundPerc","X","Sector","AdjClose","Group","YrPercentChange","RelYear"
"Telephone Utilities",2004,"TX","LAMAR","SMITH","21","LAMAR SMITH","R",23000,0.0358414002456,641716,1,209774,0.615,"Telecommunication Services","","","",1,6,645716,0.99380532618055,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Oil & Gas",2004,"TX","HENRY","BONILLA","23","HENRY BONILLA","R",62300,0.0475535492656,1310102,1,170716,0.6926,"Energy","","","",1,8,1312602,0.998095386110946,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Air Transport",2004,"TX","HENRY","BONILLA","23","HENRY BONILLA","R",105350,0.0804135861177,1310102,1,170716,0.6926,"Industrials","","","",1,5,1312602,0.998095386110946,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Pharmaceuticals/Health Products",2004,"TX","HENRY","BONILLA","23","HENRY BONILLA","R",78381,0.0598281660512,1310102,1,170716,0.6926,"Health Care","","","",1,6,1312602,0.998095386110946,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Automotive",2004,"TX","HENRY","BONILLA","23","HENRY BONILLA","R",78250,0.0597281738369,1310102,1,170716,0.6926,"Consumer Discretionary","","","",1,7,1312602,0.998095386110946,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Telephone Utilities",2004,"TX","KENNY","MARCHANT","24","KENNY MARCHANT","R",16000,0.0404157773091,395885,0,154435,0.6398,"Telecommunication Services","","","",1,6,399585,0.990740393157901,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Oil & Gas",2004,"TX","KENNY","MARCHANT","24","KENNY MARCHANT","R",41050,0.103691728659,395885,0,154435,0.6398,"Energy","","","",1,5,399585,0.990740393157901,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Misc Business",2004,"TX","GARY","PAGE","24","GARY R PAGE","D",200,0.0540540540541,3700,0,82599,0.3422,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,3,399585,0.00925960684209868,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Electric Utilities",2004,"TX","KENNY","MARCHANT","24","KENNY MARCHANT","R",15500,0.0391527842682,395885,0,154435,0.6398,"Utilities","","","",1,8,399585,0.990740393157901,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Air Transport",2004,"TX","KENNY","MARCHANT","24","KENNY MARCHANT","R",45000,0.1136693736818,395885,0,154435,0.6398,"Industrials","","","",1,4,399585,0.990740393157901,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Beer, Wine & Liquor",2004,"TX","KENNY","MARCHANT","24","KENNY MARCHANT","R",11000,0.0277858469,395885,0,154435,0.6398,"Consumer Staples","","","",1,9,399585,0.990740393157901,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Automotive",2004,"TX","KENNY","MARCHANT","24","KENNY MARCHANT","R",15500,0.0391527842682,395885,0,154435,0.6398,"Consumer Discretionary","","","",1,7,399585,0.990740393157901,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Hospitals/Nursing Homes",2004,"TX","LLOYD","DOGGETT","25","LLOYD DOGGETT","D",10900,0.0172495648046,631900,1,108309,0.676,"Health Care","","","",1,6,1119450,0.564473625441065,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Business Services",2004,"TX","LLOYD","DOGGETT","25","LLOYD DOGGETT","D",50450,0.0798385820541,631900,1,108309,0.676,"Consumer Discretionary","Industrials","","",1,4,1119450,0.564473625441065,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Misc Business",2004,"TX","REBECCA","KLEIN","25","REBECCA ARMENDARIZ KLEIN","R",25733,0.052780227669,487550,0,49252,0.3074,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,6,1119450,0.435526374558935,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Misc Business",2004,"TX","LLOYD","DOGGETT","25","LLOYD DOGGETT","D",10750,0.0170121854724,631900,1,108309,0.676,"Materials","Consumer Discretionary","Consumer Staples","Industrials",1,7,1119450,0.564473625441065,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Telecom Services & Equipment",2004,"TX","REBECCA","KLEIN","25","REBECCA ARMENDARIZ KLEIN","R",41850,0.0858373500154,487550,0,49252,0.3074,"Telecommunication Services","","","",0,4,1119450,0.435526374558935,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Automotive",2004,"TX","REBECCA","KLEIN","25","REBECCA ARMENDARIZ KLEIN","R",34833,0.071444980002,487550,0,49252,0.3074,"Consumer Discretionary","","","",0,5,1119450,0.435526374558935,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Electric Utilities",2004,"TX","REBECCA","KLEIN","25","REBECCA ARMENDARIZ KLEIN","R",22550,0.0462516664957,487550,0,49252,0.3074,"Utilities","","","",0,7,1119450,0.435526374558935,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Construction Services",2004,"TX","LLOYD","DOGGETT","25","LLOYD DOGGETT","D",14570,0.0230574457984,631900,1,108309,0.676,"Industrials","","","",1,5,1119450,0.564473625441065,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Oil & Gas",2004,"TX","REBECCA","KLEIN","25","REBECCA ARMENDARIZ KLEIN","R",13000,0.0266639319044,487550,0,49252,0.3074,"Energy","","","",0,8,1119450,0.435526374558935,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Tobacco",2004,"TX","REBECCA","KLEIN","25","REBECCA ARMENDARIZ KLEIN","R",6500,0.0133319659522,487550,0,49252,0.3074,"Consumer Staples","","","",0,9,1119450,0.435526374558935,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Air Transport",2004,"TX","MICHAEL","BURGESS","26","MICHAEL BURGESS","R",66870,0.1044771921931,640044,1,180519,0.6575,"Industrials","","","",1,3,640044,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Beer, Wine & Liquor",2004,"TX","MICHAEL","BURGESS","26","MICHAEL BURGESS","R",18500,0.0289042628319,640044,1,180519,0.6575,"Consumer Staples","","","",1,9,640044,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Hospitals/Nursing Homes",2004,"TX","MICHAEL","BURGESS","26","MICHAEL BURGESS","R",38500,0.0601521145421,640044,1,180519,0.6575,"Health Care","","","",1,5,640044,1,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Automotive",2004,"TX","MICHAEL","BURGESS","26","MICHAEL BURGESS","R",30200,0.0471842560824,640044,1,180519,0.6575,"Consumer Discretionary","","","",1,7,640044,1,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Electric Utilities",2004,"TX","MICHAEL","BURGESS","26","MICHAEL BURGESS","R",23000,0.0359350294667,640044,1,180519,0.6575,"Utilities","","","",1,8,640044,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Oil & Gas",2004,"TX","MICHAEL","BURGESS","26","MICHAEL BURGESS","R",37700,0.0589022004737,640044,1,180519,0.6575,"Energy","","","",1,6,640044,1,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Automotive",2004,"TX","SOLOMON","ORTIZ","27","SOLOMON P ORTIZ","D",47250,0.1242766964755,380200,1,112081,0.6313,"Consumer Discretionary","","","",1,4,382950,0.992818905862384,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Misc Business",2004,"TX","SOLOMON","ORTIZ","27","SOLOMON P ORTIZ","D",22050,0.0579957916886,380200,1,112081,0.6313,"Materials","Consumer Discretionary","Consumer Staples","Industrials",1,7,382950,0.992818905862384,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Oil & Gas",2004,"TX","SOLOMON","ORTIZ","27","SOLOMON P ORTIZ","D",28500,0.0749605470805,380200,1,112081,0.6313,"Energy","","","",1,6,382950,0.992818905862384,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Beer, Wine & Liquor",2004,"TX","SOLOMON","ORTIZ","27","SOLOMON P ORTIZ","D",40300,0.1059968437664,380200,1,112081,0.6313,"Consumer Staples","","","",1,5,382950,0.992818905862384,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Business Services",2004,"TX","JAMES","HOPSON","28","JAMES HOPSON","R",975,0.042025862069,23200,0,69538,0.386,"Consumer Discretionary","Industrials","","",0,5,460001,0.0504346729681022,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Telephone Utilities",2004,"TX","HENRY","CUELLAR","28","HENRY CUELLAR","D",15500,0.0354852667462,436801,0,106323,0.5901,"Telecommunication Services","","","",1,8,460001,0.949565327031898,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Misc Business",2004,"TX","HENRY","CUELLAR","28","HENRY CUELLAR","D",18750,0.0429257259026,436801,0,106323,0.5901,"Materials","Consumer Discretionary","Consumer Staples","Industrials",1,6,460001,0.949565327031898,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Beer, Wine & Liquor",2004,"TX","HENRY","CUELLAR","28","HENRY CUELLAR","D",16000,0.0366299527703,436801,0,106323,0.5901,"Consumer Staples","","","",1,7,460001,0.949565327031898,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Construction Services",2004,"TX","HENRY","CUELLAR","28","HENRY CUELLAR","D",9250,0.0211766914453,436801,0,106323,0.5901,"Industrials","","","",1,9,460001,0.949565327031898,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Automotive",2004,"TX","HENRY","CUELLAR","28","HENRY CUELLAR","D",36200,0.0828752681427,436801,0,106323,0.5901,"Consumer Discretionary","","","",1,4,460001,0.949565327031898,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Oil & Gas",2004,"TX","HENRY","CUELLAR","28","HENRY CUELLAR","D",20600,0.0471610641917,436801,0,106323,0.5901,"Energy","","","",1,5,460001,0.949565327031898,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Oil & Gas",2004,"TX","JAMES","HOPSON","28","JAMES HOPSON","R",500,0.0215517241379,23200,0,69538,0.386,"Energy","","","",0,6,460001,0.0504346729681022,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Beer, Wine & Liquor",2004,"TX","GENE","GREEN","29","GENE GREEN","D",10500,0.0207924909404,504990,1,78256,0.9414,"Consumer Staples","","","",1,10,504990,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Air Transport",2004,"TX","GENE","GREEN","29","GENE GREEN","D",26050,0.0515851799045,504990,1,78256,0.9414,"Industrials","","","",1,6,504990,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Electric Utilities",2004,"TX","GENE","GREEN","29","GENE GREEN","D",32000,0.0633675914375,504990,1,78256,0.9414,"Utilities","","","",1,5,504990,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Oil & Gas",2004,"TX","GENE","GREEN","29","GENE GREEN","D",37913,0.0750767341928,504990,1,78256,0.9414,"Energy","","","",1,4,504990,1,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Automotive",2004,"TX","GENE","GREEN","29","GENE GREEN","D",42150,0.0834669993465,504990,1,78256,0.9414,"Consumer Discretionary","","","",1,3,504990,1,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Telephone Utilities",2004,"TX","GENE","GREEN","29","GENE GREEN","D",20000,0.0396047446484,504990,1,78256,0.9414,"Telecommunication Services","","","",1,7,504990,1,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Chemical & Related Manufacturing",2004,"TX","GENE","GREEN","29","GENE GREEN","D",12000,0.023762846789,504990,1,78256,0.9414,"Materials","","","",1,9,504990,1,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Electric Utilities",2004,"TX","SAM","JOHNSON","3","SAM JOHNSON","R",18750,0.0332498687739,563912,1,180099,0.8562,"Utilities","","","",1,8,565062,0.997964825098839,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Air Transport",2004,"TX","SAM","JOHNSON","3","SAM JOHNSON","R",44250,0.0784696903063,563912,1,180099,0.8562,"Industrials","","","",1,5,565062,0.997964825098839,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Health Services/HMOs",2004,"TX","SAM","JOHNSON","3","SAM JOHNSON","R",43075,0.0763860318631,563912,1,180099,0.8562,"Health Care","","","",1,6,565062,0.997964825098839,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Oil & Gas",2004,"TX","SAM","JOHNSON","3","SAM JOHNSON","R",37250,0.0660564059641,563912,1,180099,0.8562,"Energy","","","",1,7,565062,0.997964825098839,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Beer, Wine & Liquor",2004,"TX","EDDIE","JOHNSON","30","EDDIE BERNICE JOHNSON","D",5000,0.0179464263281,278607,1,144513,0.9303,"Consumer Staples","","","",1,7,278607,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Air Transport",2004,"TX","EDDIE","JOHNSON","30","EDDIE BERNICE JOHNSON","D",33640,0.1207435563355,278607,1,144513,0.9303,"Industrials","","","",1,3,278607,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Oil & Gas",2004,"TX","EDDIE","JOHNSON","30","EDDIE BERNICE JOHNSON","D",3450,0.0123830341664,278607,1,144513,0.9303,"Energy","","","",1,9,278607,1,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Electric Utilities",2004,"TX","EDDIE","JOHNSON","30","EDDIE BERNICE JOHNSON","D",7750,0.0278169608086,278607,1,144513,0.9303,"Utilities","","","",1,5,278607,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Business Services",2004,"TX","EDDIE","JOHNSON","30","EDDIE BERNICE JOHNSON","D",14650,0.0525830291414,278607,1,144513,0.9303,"Consumer Discretionary","Industrials","","",1,4,278607,1,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Hospitals/Nursing Homes",2004,"TX","EDDIE","JOHNSON","30","EDDIE BERNICE JOHNSON","D",3950,0.0141776767992,278607,1,144513,0.9303,"Health Care","","","",1,8,278607,1,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Beer, Wine & Liquor",2004,"TX","JOHN","CARTER","31","JOHN CARTER","R",19300,0.0294337884641,655709,1,160247,0.6477,"Consumer Staples","","","",1,9,688890,0.951834109944984,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Electric Utilities",2004,"TX","JOHN","CARTER","31","JOHN CARTER","R",20750,0.0316451352658,655709,1,160247,0.6477,"Utilities","","","",1,8,688890,0.951834109944984,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Oil & Gas",2004,"TX","JOHN","CARTER","31","JOHN CARTER","R",52250,0.0796847381994,655709,1,160247,0.6477,"Energy","","","",1,5,688890,0.951834109944984,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Misc Business",2004,"TX","JON","PORTER","31","JON PORTER","D",33181,0.0483554653849,33181,0,80292,0.3245,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,8,688890,0.048165890055016,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Air Transport",2004,"TX","JOHN","CARTER","31","JOHN CARTER","R",51000,0.0777784047497,655709,1,160247,0.6477,"Industrials","","","",1,6,688890,0.951834109944984,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Computers/Internet",2004,"TX","JOHN","CARTER","31","JOHN CARTER","R",75140,0.1145935163312,655709,1,160247,0.6477,"Consumer Discretionary","Information Technology","","",1,4,688890,0.951834109944984,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Telephone Utilities",2004,"TX","JOHN","CARTER","31","JOHN CARTER","R",22000,0.0335514687155,655709,1,160247,0.6477,"Telecommunication Services","","","",1,7,688890,0.951834109944984,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Misc Agriculture",2004,"TX","JIM","NICKERSON","4","JIM NICKERSON","D",250,0.00747116131732,33462,0,81585,0.3045,"Consumer Staples","","","",0,5,728369,0.0459409996855989,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Automotive",2004,"TX","RALPH","HALL","4","RALPH HALL","R",44000,0.0633178252629,694907,1,182866,0.6825,"Consumer Discretionary","","","",1,6,728369,0.954059000314401,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Pharmaceuticals/Health Products",2004,"TX","RALPH","HALL","4","RALPH HALL","R",25326,0.0364451646048,694907,1,182866,0.6825,"Health Care","","","",1,8,728369,0.954059000314401,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Telephone Utilities",2004,"TX","RALPH","HALL","4","RALPH HALL","R",14750,0.0212258618779,694907,1,182866,0.6825,"Telecommunication Services","","","",1,10,728369,0.954059000314401,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Misc Energy",2004,"TX","RALPH","HALL","4","RALPH HALL","R",87847,0.1264154771789,694907,1,182866,0.6825,"Energy","","","",1,3,728369,0.954059000314401,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Chemical & Related Manufacturing",2004,"TX","RALPH","HALL","4","RALPH HALL","R",23500,0.0338174748563,694907,1,182866,0.6825,"Materials","","","",1,9,728369,0.954059000314401,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Air Transport",2004,"TX","RALPH","HALL","4","RALPH HALL","R",43182,0.0621406893297,694907,1,182866,0.6825,"Industrials","","","",1,7,728369,0.954059000314401,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Oil & Gas",2004,"TX","JEB","HENSARLING","5","JEB HENSARLING","R",46100,0.0430218711621,1071548,1,148816,0.6447,"Energy","","","",1,5,1072748,0.998881377546264,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Food & Beverage",2004,"TX","JEB","HENSARLING","5","JEB HENSARLING","R",23000,0.0214642741156,1071548,1,148816,0.6447,"Consumer Staples","","","",1,8,1072748,0.998881377546264,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Air Transport",2004,"TX","JEB","HENSARLING","5","JEB HENSARLING","R",39750,0.0370958650476,1071548,1,148816,0.6447,"Industrials","","","",1,6,1072748,0.998881377546264,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Electric Utilities",2004,"TX","JEB","HENSARLING","5","JEB HENSARLING","R",29450,0.027483603161,1071548,1,148816,0.6447,"Utilities","","","",1,7,1072748,0.998881377546264,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Automotive",2004,"TX","JEB","HENSARLING","5","JEB HENSARLING","R",73250,0.0683590469116,1071548,1,148816,0.6447,"Consumer Discretionary","","","",1,4,1072748,0.998881377546264,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Hospitals/Nursing Homes",2004,"TX","MORRIS","MEYER","6","MORRIS MEYER","D",1250,0.0243332684446,51370,0,83609,0.3271,"Health Care","","","",0,6,1777812,0.0288950687699262,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Business Services",2004,"TX","MORRIS","MEYER","6","MORRIS MEYER","D",2300,0.0447732139381,51370,0,83609,0.3271,"Consumer Discretionary","Industrials","","",0,4,1777812,0.0288950687699262,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Trucking",2004,"TX","MORRIS","MEYER","6","MORRIS MEYER","D",1750,0.0340665758225,51370,0,83609,0.3271,"Industrials","","","",0,5,1777812,0.0288950687699262,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Telephone Utilities",2004,"TX","JOHN","CULBERSON","7","JOHN CULBERSON","R",7000,0.0179364383871,390267,1,175440,0.6411,"Telecommunication Services","","","",1,10,398567,0.979175395855653,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Air Transport",2004,"TX","JOHN","CULBERSON","7","JOHN CULBERSON","R",53000,0.1358044620735,390267,1,175440,0.6411,"Industrials","","","",1,3,398567,0.979175395855653,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Building Materials & Equipment",2004,"TX","JOHN","CULBERSON","7","JOHN CULBERSON","R",7000,0.0179364383871,390267,1,175440,0.6411,"Materials","Industrials","","",1,9,398567,0.979175395855653,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Business Services",2004,"TX","JOHN","MARTINEZ","7","JOHN MARTINEZ","D",500,0.0793650793651,6300,0,91126,0.333,"Consumer Discretionary","Industrials","","",0,2,398567,0.0158066272420948,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Automotive",2004,"TX","JOHN","CULBERSON","7","JOHN CULBERSON","R",32450,0.0831482036657,390267,1,175440,0.6411,"Consumer Discretionary","","","",1,6,398567,0.979175395855653,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Agricultural Services/Products",2004,"TX","JOHN","CULBERSON","7","JOHN CULBERSON","R",25888,0.0663340738521,390267,1,175440,0.6411,"Consumer Staples","","","",1,7,398567,0.979175395855653,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Electric Utilities",2004,"TX","JOHN","CULBERSON","7","JOHN CULBERSON","R",15500,0.0397163992856,390267,1,175440,0.6411,"Utilities","","","",1,8,398567,0.979175395855653,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Oil & Gas",2004,"TX","JOHN","MARTINEZ","7","JOHN MARTINEZ","D",500,0.0793650793651,6300,0,91126,0.333,"Energy","","","",0,3,398567,0.0158066272420948,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Oil & Gas",2004,"TX","JOHN","CULBERSON","7","JOHN CULBERSON","R",46945,0.120289442869,390267,1,175440,0.6411,"Energy","","","",1,4,398567,0.979175395855653,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Oil & Gas",2004,"TX","KEVIN","BRADY","8","KEVIN BRADY","R",63250,0.117183881427,539750,1,179599,0.6891,"Energy","","","",1,4,539750,1,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Electric Utilities",2004,"TX","KEVIN","BRADY","8","KEVIN BRADY","R",26000,0.0481704492821,539750,1,179599,0.6891,"Utilities","","","",1,7,539750,1,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Beer, Wine & Liquor",2004,"TX","KEVIN","BRADY","8","KEVIN BRADY","R",10500,0.0194534506716,539750,1,179599,0.6891,"Consumer Staples","","","",1,8,539750,1,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Automotive",2004,"TX","KEVIN","BRADY","8","KEVIN BRADY","R",62500,0.1157943492358,539750,1,179599,0.6891,"Consumer Discretionary","","","",1,5,539750,1,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Air Transport",2004,"TX","KEVIN","BRADY","8","KEVIN BRADY","R",31110,0.0576377952756,539750,1,179599,0.6891,"Industrials","","","",1,6,539750,1,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Misc Energy",2004,"TX","ARLETTE","MOLINA","9","ARLETTE MOLINA","R",6000,0.1152184349498,52075,0,42132,0.2657,"Energy","","","",0,4,423241,0.123038647011986,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Recreation/Live Entertainment",2004,"TX","ARLETTE","MOLINA","9","ARLETTE MOLINA","R",2500,0.048007681229,52075,0,42132,0.2657,"Consumer Discretionary","","","",0,6,423241,0.123038647011986,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Business Services",2004,"TX","AL","GREEN","9","AL GREEN","D",6000,0.0161652737589,371166,0,114462,0.7219,"Consumer Discretionary","Industrials","","",1,6,423241,0.876961352988014,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Telephone Utilities",2004,"TX","AL","GREEN","9","AL GREEN","D",11100,0.029905756454,371166,0,114462,0.7219,"Telecommunication Services","","","",1,5,423241,0.876961352988014,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Misc Business",2004,"TX","AL","GREEN","9","AL GREEN","D",43317,0.116705193902,371166,0,114462,0.7219,"Materials","Consumer Discretionary","Consumer Staples","Industrials",1,3,423241,0.876961352988014,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Mining",2004,"TX","ARLETTE","MOLINA","9","ARLETTE MOLINA","R",1050,0.0201632261162,52075,0,42132,0.2657,"Materials","","","",0,8,423241,0.123038647011986,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Food Processing & Sales",2004,"TX","ARLETTE","MOLINA","9","ARLETTE MOLINA","R",2000,0.0384061449832,52075,0,42132,0.2657,"Consumer Staples","","","",0,7,423241,0.123038647011986,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Telephone Utilities",2004,"TX","ARLETTE","MOLINA","9","ARLETTE MOLINA","R",500,0.0096015362458,52075,0,42132,0.2657,"Telecommunication Services","","","",0,9,423241,0.123038647011986,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Building Materials & Equipment",2004,"UT","ROB","BISHOP","1","ROB BISHOP","R",33550,0.1305198619718,257049,1,199615,0.6791,"Materials","Industrials","","",1,4,280419,0.916660426005371,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Defense Electronics",2004,"UT","ROB","BISHOP","1","ROB BISHOP","R",33500,0.1303253465293,257049,1,199615,0.6791,"Industrials","","","",1,5,280419,0.916660426005371,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Construction Services",2004,"UT","STEPHEN","THOMPSON","1","STEPHEN CHARLES THOMPSON","D",500,0.0215796288304,23370,0,85630,0.2913,"Industrials","","","",0,5,280419,0.0833395739946295,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Agricultural Services/Products",2004,"UT","STEPHEN","THOMPSON","1","STEPHEN CHARLES THOMPSON","D",550,0.0237375917134,23370,0,85630,0.2913,"Consumer Staples","","","",0,4,280419,0.0833395739946295,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Oil & Gas",2004,"UT","ROB","BISHOP","1","ROB BISHOP","R",12000,0.0466837062194,257049,1,199615,0.6791,"Energy","","","",1,7,280419,0.916660426005371,13,"Energy",1348.010537,"Values0506b",62.8528396649974,"2004"
"Computers/Internet",2004,"UT","STEPHEN","THOMPSON","1","STEPHEN CHARLES THOMPSON","D",495,0.02136383254207,23370,0,85630,0.2913,"Consumer Discretionary","Information Technology","","",0,6,280419,0.0833395739946295,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
