OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,indrank,TotalRaceFunds,RaceFundPerc,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Crop Production & Basic Processing,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,2077,0.015126356,137310,0,93938,0.3681,Consumer Staples,,,,0,7,850037,0.161534145,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AL,JO,BONNER,1,JO BONNER,R,34366,0.04821762,712727,1,161067,0.6312,Utilities,,,,1,8,850037,0.838465855,20,Utilities,846.831177,Values0506b,0.387572063,2004
Computers/Internet,2004,AL,JO,BONNER,1,JO BONNER,R,38250,0.053667112,712727,1,161067,0.6312,Consumer Discretionary,Information Technology,,,1,7,850037,0.838465855,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,5950,0.043332605,137310,0,93938,0.3681,Financials,,,,0,3,850037,0.161534145,14,Financials,5555.739999,Values0506b,0.351064506,2004
Telecom Services & Equipment,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,1800,0.013109023,137310,0,93938,0.3681,Telecommunication Services,,,,0,8,850037,0.161534145,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Misc Business,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,2750,0.020027675,137310,0,93938,0.3681,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,5,850037,0.161534145,18,Materials,994.347645,Values0506b,0.30380417,2004
Construction Services,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,147200,0.296236667,496900,1,177086,0.7142,Industrials,,,,1,1,497200,0.999396621,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,56900,0.114509962,496900,1,177086,0.7142,Financials,,,,1,4,497200,0.999396621,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,45400,0.091366472,496900,1,177086,0.7142,Consumer Discretionary,,,,1,6,497200,0.999396621,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,17000,0.034212115,496900,1,177086,0.7142,Utilities,,,,1,7,497200,0.999396621,20,Utilities,846.831177,Values0506b,0.387572063,2004
Agricultural Services/Products,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,77300,0.1555645,496900,1,177086,0.7142,Consumer Staples,,,,1,3,497200,0.999396621,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Securities & Investment,2004,AL,BILL,FULLER,3,BILL FULLER,D,3265,0.014719009,221822,0,95240,0.3875,Financials,,,,0,3,1482675,0.149609321,14,Financials,5555.739999,Values0506b,0.351064506,2004
Misc Business,2004,AL,BILL,FULLER,3,BILL FULLER,D,1162,0.005238434,221822,0,95240,0.3875,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,5,1482675,0.149609321,18,Materials,994.347645,Values0506b,0.30380417,2004
Automotive,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,66600,0.052821384,1260853,1,150411,0.612,Consumer Discretionary,,,,1,5,1482675,0.850390679,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Environmental Svcs/Equipment,2004,AL,BILL,FULLER,3,BILL FULLER,D,1000,0.004508119,221822,0,95240,0.3875,Industrials,,,,0,7,1482675,0.149609321,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,32750,0.025974479,1260853,1,150411,0.612,Energy,,,,1,9,1482675,0.850390679,13,Energy,1348.010537,Values0506b,0.628528397,2004
Mining,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,36000,0.028552099,1260853,1,150411,0.612,Materials,,,,1,8,1482675,0.850390679,18,Materials,994.347645,Values0506b,0.30380417,2004
Defense Aerospace,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,148249,0.117578338,1260853,1,150411,0.612,Industrials,,,,1,3,1482675,0.850390679,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,146523,0.116209423,1260853,1,150411,0.612,Financials,,,,1,4,1482675,0.850390679,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,61750,0.048974781,1260853,1,150411,0.612,Consumer Staples,,,,1,6,1482675,0.850390679,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,52425,0.041578995,1260853,1,150411,0.612,Utilities,,,,1,7,1482675,0.850390679,20,Utilities,846.831177,Values0506b,0.387572063,2004
Printing & Publishing,2004,AL,BILL,FULLER,3,BILL FULLER,D,2750,0.012397328,221822,0,95240,0.3875,Consumer Discretionary,Industrials,,,0,4,1482675,0.149609321,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,AL,BILL,FULLER,3,BILL FULLER,D,1000,0.004508119,221822,0,95240,0.3875,Consumer Staples,,,,0,6,1482675,0.149609321,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Construction Services,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,1000,0.054347826,18400,0,64278,0.2514,Industrials,,,,0,4,408435,0.045050008,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Air Transport,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,136828,0.350809543,390035,1,191110,0.7473,Industrials,,,,1,1,408435,0.954949992,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Misc Business,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,2000,0.108695652,18400,0,64278,0.2514,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,3,408435,0.045050008,18,Materials,994.347645,Values0506b,0.30380417,2004
Electric Utilities,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,500,0.027173913,18400,0,64278,0.2514,Utilities,,,,0,5,408435,0.045050008,20,Utilities,846.831177,Values0506b,0.387572063,2004
Electric Utilities,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,20607,0.05283372,390035,1,191110,0.7473,Utilities,,,,1,6,408435,0.954949992,20,Utilities,846.831177,Values0506b,0.387572063,2004
Mining,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,12000,0.03076647,390035,1,191110,0.7473,Materials,,,,1,8,408435,0.954949992,18,Materials,994.347645,Values0506b,0.30380417,2004
Crop Production & Basic Processing,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,18689,0.047916213,390035,1,191110,0.7473,Consumer Staples,,,,1,7,408435,0.954949992,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Telecom Services & Equipment,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,11500,0.029484533,390035,1,191110,0.7473,Telecommunication Services,,,,1,9,408435,0.954949992,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Automotive,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,56480,0.144807517,390035,1,191110,0.7473,Consumer Discretionary,,,,1,3,408435,0.954949992,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,25012,0.064127578,390035,1,191110,0.7473,Financials,,,,1,5,408435,0.954949992,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,24600,0.05113027,481124,1,200999,0.7297,Consumer Staples,,,,1,6,489103,0.983686463,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electronics Mfg & Services,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,18750,0.038971242,481124,1,200999,0.7297,Information Technology,Consumer Discretionary,,,1,7,489103,0.983686463,17,Information Technology,1575.122081,Values0506b,0.175743829,2004
Computers/Internet,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,62700,0.130319834,481124,1,200999,0.7297,Consumer Discretionary,Information Technology,,,1,4,489103,0.983686463,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
TV/Movies/Music,2004,AL,GERALD,WALLACE,5,GERALD WALLACE,R,229,0.028700338,7979,0,74145,0.2692,Consumer Discretionary,,,,0,4,489103,0.016313537,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Air Transport,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,149900,0.311562092,481124,1,200999,0.7297,Industrials,,,,1,1,489103,0.983686463,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Misc Finance,2004,AL,GERALD,WALLACE,5,GERALD WALLACE,R,250,0.031332247,7979,0,74145,0.2692,Financials,,,,0,3,489103,0.016313537,14,Financials,5555.739999,Values0506b,0.351064506,2004
Oil & Gas,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,17752,0.036896933,481124,1,200999,0.7297,Energy,,,,1,9,489103,0.983686463,13,Energy,1348.010537,Values0506b,0.628528397,2004
Electric Utilities,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,18500,0.038451626,481124,1,200999,0.7297,Utilities,,,,1,8,489103,0.983686463,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,32500,0.067550153,481124,1,200999,0.7297,Financials,,,,1,5,489103,0.983686463,14,Financials,5555.739999,Values0506b,0.351064506,2004
Telephone Utilities,2004,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,33000,0.029385574,1123000,1,264819,0.988,Telecommunication Services,,,,1,6,1123000,1,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Misc Services,2004,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,57750,0.051424755,1123000,1,264819,0.988,Industrials,,,,1,4,1123000,1,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Building Materials & Equipment,2004,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,42250,0.03762244,1123000,1,264819,0.988,Materials,Industrials,,,1,5,1123000,1,18,Materials,994.347645,Values0506b,0.30380417,2004
Retail Sales,2004,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,25750,0.022929653,1123000,1,264819,0.988,Consumer Discretionary,,,,1,7,1123000,1,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Agricultural Services/Products,2004,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,17000,0.015138023,1123000,1,264819,0.988,Consumer Staples,,,,1,8,1123000,1,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Accountants,2004,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,613069,0.545920748,1123000,1,264819,0.988,Financials,,,,1,1,1123000,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,15272,0.022898955,666930,1,183408,0.7497,Consumer Staples,,,,1,8,666930,1,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,18950,0.028413777,666930,1,183408,0.7497,Utilities,,,,1,4,666930,1,20,Utilities,846.831177,Values0506b,0.387572063,2004
Forestry & Forest Products,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,17586,0.026368584,666930,1,183408,0.7497,Materials,,,,1,5,666930,1,18,Materials,994.347645,Values0506b,0.30380417,2004
Retail Sales,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,17250,0.025864783,666930,1,183408,0.7497,Consumer Discretionary,,,,1,6,666930,1,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Construction Services,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,15050,0.022566086,666930,1,183408,0.7497,Industrials,,,,1,9,666930,1,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Hospitals/Nursing Homes,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,15400,0.023090879,666930,1,183408,0.7497,Health Care,,,,1,7,666930,1,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Accountants,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,167088,0.250533039,666930,1,183408,0.7497,Financials,,,,1,2,666930,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Computers/Internet,2004,AL,RICHARD,SHELBY,S,RICHARD C SHELBY,R,225510,0.042558757,5298792,1,1242200,0.6755,Consumer Discretionary,Information Technology,,,1,4,5299092,0.999943387,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,AL,RICHARD,SHELBY,S,RICHARD C SHELBY,R,103500,0.019532754,5298792,1,1242200,0.6755,Utilities,,,,1,7,5299092,0.999943387,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,AL,RICHARD,SHELBY,S,RICHARD C SHELBY,R,1667137,0.314625862,5298792,1,1242200,0.6755,Financials,,,,1,2,5299092,0.999943387,14,Financials,5555.739999,Values0506b,0.351064506,2004
Building Materials & Equipment,2004,AL,RICHARD,SHELBY,S,RICHARD C SHELBY,R,174065,0.03284994,5298792,1,1242200,0.6755,Materials,Industrials,,,1,5,5299092,0.999943387,18,Materials,994.347645,Values0506b,0.30380417,2004
Air Transport,2004,AL,RICHARD,SHELBY,S,RICHARD C SHELBY,R,792108,0.149488412,5298792,1,1242200,0.6755,Industrials,,,,1,3,5299092,0.999943387,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Crop Production & Basic Processing,2004,AR,VERNON,HUMPHREY,1,VERNON WOODROW HUMPHREY,R,500,0.2,2500,0,81556,0.3343,Consumer Staples,,,,0,2,684277,0.003653491,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Commercial Banks,2004,AR,MARION,BERRY,1,MARION BERRY,D,46450,0.068130782,681777,1,162388,0.6657,Financials,,,,1,4,684277,0.996346509,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,AR,MARION,BERRY,1,MARION BERRY,D,30477,0.0447023,681777,1,162388,0.6657,Utilities,,,,1,6,684277,0.996346509,20,Utilities,846.831177,Values0506b,0.387572063,2004
Automotive,2004,AR,MARION,BERRY,1,MARION BERRY,D,37700,0.055296673,681777,1,162388,0.6657,Consumer Discretionary,,,,1,5,684277,0.996346509,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Air Transport,2004,AR,MARION,BERRY,1,MARION BERRY,D,14300,0.0209746,681777,1,162388,0.6657,Industrials,,,,1,7,684277,0.996346509,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Agricultural Services/Products,2004,AR,MARION,BERRY,1,MARION BERRY,D,213050,0.312492208,681777,1,162388,0.6657,Consumer Staples,,,,1,2,684277,0.996346509,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Food Processing & Sales,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,19450,0.064161773,303140,0,115655,0.4183,Consumer Staples,,,,0,6,764955,0.396284749,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Automotive,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,43550,0.094301831,461815,1,160834,0.5817,Consumer Discretionary,,,,1,3,764955,0.603715251,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,24500,0.053051547,461815,1,160834,0.5817,Financials,,,,1,4,764955,0.603715251,14,Financials,5555.739999,Values0506b,0.351064506,2004
Crop Production & Basic Processing,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,13050,0.028258069,461815,1,160834,0.5817,Consumer Staples,,,,1,6,764955,0.603715251,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Hospitals/Nursing Homes,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,24050,0.07933628,303140,0,115655,0.4183,Health Care,,,,0,4,764955,0.396284749,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Construction Services,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,6800,0.02243188,303140,0,115655,0.4183,Industrials,,,,0,9,764955,0.396284749,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Telecom Services & Equipment,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,7750,0.025565745,303140,0,115655,0.4183,Telecommunication Services,,,,0,8,764955,0.396284749,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Misc Business,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,14300,0.047172923,303140,0,115655,0.4183,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,7,764955,0.396284749,18,Materials,994.347645,Values0506b,0.30380417,2004
Air Transport,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,13500,0.029232485,461815,1,160834,0.5817,Industrials,,,,1,5,764955,0.603715251,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,12750,0.027608458,461815,1,160834,0.5817,Utilities,,,,1,7,764955,0.603715251,20,Utilities,846.831177,Values0506b,0.387572063,2004
Business Services,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,23315,0.076911658,303140,0,115655,0.4183,Consumer Discretionary,Industrials,,,0,5,764955,0.396284749,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,37850,0.124859801,303140,0,115655,0.4183,Financials,,,,0,3,764955,0.396284749,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,13250,0.037363517,354624,1,160629,0.5932,Utilities,,,,1,8,527739,0.67196853,20,Utilities,846.831177,Values0506b,0.387572063,2004
Building Materials & Equipment,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,25170,0.070976584,354624,1,160629,0.5932,Materials,Industrials,,,1,7,527739,0.67196853,18,Materials,994.347645,Values0506b,0.30380417,2004
Misc Finance,2004,AR,JAN,JUDY,3,JAN JUDY,D,7200,0.041954375,171615,0,103158,0.3809,Financials,,,,0,4,527739,0.325189156,14,Financials,5555.739999,Values0506b,0.351064506,2004
Misc Services,2004,AR,JAN,JUDY,3,JAN JUDY,D,2000,0.011653993,171615,0,103158,0.3809,Industrials,,,,0,8,527739,0.325189156,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Telephone Utilities,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,10000,0.028198881,354624,1,160629,0.5932,Telecommunication Services,,,,1,10,527739,0.67196853,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Commercial Banks,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,52573,0.148249977,354624,1,160629,0.5932,Financials,,,,1,2,527739,0.67196853,14,Financials,5555.739999,Values0506b,0.351064506,2004
Business Services,2004,AR,JAN,JUDY,3,JAN JUDY,D,8620,0.05022871,171615,0,103158,0.3809,Consumer Discretionary,Industrials,,,0,3,527739,0.325189156,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Business,2004,AR,JAN,JUDY,3,JAN JUDY,D,3500,0.020394488,171615,0,103158,0.3809,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,7,527739,0.325189156,18,Materials,994.347645,Values0506b,0.30380417,2004
Misc Communications/Electronics,2004,AR,JAN,JUDY,3,JAN JUDY,D,4000,0.023307986,171615,0,103158,0.3809,Telecommunication Services,Consumer Discretionary,,,0,6,527739,0.325189156,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Air Transport,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,38925,0.109764145,354624,1,160629,0.5932,Industrials,,,,1,6,527739,0.67196853,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,10050,0.028339875,354624,1,160629,0.5932,Energy,,,,1,9,527739,0.67196853,13,Energy,1348.010537,Values0506b,0.628528397,2004
Crop Production & Basic Processing,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,41226,0.116252707,354624,1,160629,0.5932,Consumer Staples,,,,1,5,527739,0.67196853,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Misc Manufacturing & Distributing,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,43250,0.121960161,354624,1,160629,0.5932,Consumer Discretionary,Materials,Consumer Staples,Industrials,1,3,527739,0.67196853,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Forestry & Forest Products,2004,AR,MIKE,ROSS,4,MIKE ROSS,D,26250,0.033392953,786094,1,NA,NA,Materials,,,,0,6,786094,1,18,Materials,994.347645,Values0506b,0.30380417,2004
Oil & Gas,2004,AR,MIKE,ROSS,4,MIKE ROSS,D,24000,0.0305307,786094,1,NA,NA,Energy,,,,0,8,786094,1,13,Energy,1348.010537,Values0506b,0.628528397,2004
Retail Sales,2004,AR,MIKE,ROSS,4,MIKE ROSS,D,46102,0.05864693,786094,1,NA,NA,Consumer Discretionary,,,,0,4,786094,1,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Hospitals/Nursing Homes,2004,AR,MIKE,ROSS,4,MIKE ROSS,D,20000,0.02544225,786094,1,NA,NA,Health Care,,,,0,9,786094,1,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Electric Utilities,2004,AR,MIKE,ROSS,4,MIKE ROSS,D,19536,0.02485199,786094,1,NA,NA,Utilities,,,,0,10,786094,1,20,Utilities,846.831177,Values0506b,0.387572063,2004
