OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,TotalRaceFunds,RaceFundPerc,CANDTOTALLEVEL,VOTESLEVEL,INDRANK,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Commercial Banks,2004,OH,ROB,PORTMAN,2,ROB PORTMAN,R,330650,0.260945671,1267122,1,227102,0.717,Financials,,,,1,1272122,0.996069559,Mid-High,High,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Crop Production & Basic Processing,2004,OH,ROB,PORTMAN,2,ROB PORTMAN,R,38550,0.030423274,1267122,1,227102,0.717,Consumer Staples,,,,1,1272122,0.996069559,Mid-High,High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Commercial Banks,2004,OH,JANE,MITAKIDES,3,JANE MITAKIDES,D,18189,0.083515464,217792,0,119448,0.3771,Financials,,,,0,824702,0.264085694,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,OH,MICHAEL,TURNER,3,MICHAEL R TURNER,R,139025,0.229070208,606910,1,197290,0.6229,Consumer Discretionary,,,,1,824702,0.735914306,Mid-Low,High,2,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,OH,MICHAEL,TURNER,3,MICHAEL R TURNER,R,56500,0.093094528,606910,1,197290,0.6229,Financials,,,,1,824702,0.735914306,Mid-Low,High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Business Services,2004,OH,JANE,MITAKIDES,3,JANE MITAKIDES,D,7700,0.035354834,217792,0,119448,0.3771,Consumer Discretionary,Industrials,,,0,824702,0.264085694,Very Low,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Business,2004,OH,JANE,MITAKIDES,3,JANE MITAKIDES,D,4000,0.018366148,217792,0,119448,0.3771,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,824702,0.264085694,Very Low,Mid-Low,6,18,Materials,994.347645,Values0506b,0.30380417,2004
Food & Beverage,2004,OH,JANE,MITAKIDES,3,JANE MITAKIDES,D,5348,0.024555539,217792,0,119448,0.3771,Consumer Staples,,,,0,824702,0.264085694,Very Low,Mid-Low,5,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Air Transport,2004,OH,JANE,MITAKIDES,3,JANE MITAKIDES,D,3950,0.018136571,217792,0,119448,0.3771,Industrials,,,,0,824702,0.264085694,Very Low,Mid-Low,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Chemical & Related Manufacturing,2004,OH,MICHAEL,TURNER,3,MICHAEL R TURNER,R,18250,0.030070356,606910,1,197290,0.6229,Materials,,,,1,824702,0.735914306,Mid-Low,High,6,18,Materials,994.347645,Values0506b,0.30380417,2004
Air Transport,2004,OH,MICHAEL,TURNER,3,MICHAEL R TURNER,R,116130,0.191346328,606910,1,197290,0.6229,Industrials,,,,1,824702,0.735914306,Mid-Low,High,3,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Chemical & Related Manufacturing,2004,OH,BENJAMIN,KONOP,4,BENJAMIN ZAGHARY KONOP,D,1665,0.018087013,92055,0,118538,0.414,Materials,,,,0,1497115,0.061488262,Very Low,Mid-Low,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Telecom Services & Equipment,2004,OH,MICHAEL,OXLEY,4,MICHAEL G OXLEY,R,19750,0.014056339,1405060,1,167807,0.586,Telecommunication Services,,,,1,1497115,0.938511738,High,Mid-High,9,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Oil & Gas,2004,OH,MICHAEL,OXLEY,4,MICHAEL G OXLEY,R,22750,0.016191479,1405060,1,167807,0.586,Energy,,,,1,1497115,0.938511738,High,Mid-High,8,13,Energy,1348.010537,Values0506b,0.628528397,2004
Printing & Publishing,2004,OH,BENJAMIN,KONOP,4,BENJAMIN ZAGHARY KONOP,D,5500,0.05974689,92055,0,118538,0.414,Consumer Discretionary,Industrials,,,0,1497115,0.061488262,Very Low,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Air Transport,2004,OH,MICHAEL,OXLEY,4,MICHAEL G OXLEY,R,46300,0.032952329,1405060,1,167807,0.586,Industrials,,,,1,1497115,0.938511738,High,Mid-High,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Pharmaceuticals/Health Products,2004,OH,MICHAEL,OXLEY,4,MICHAEL G OXLEY,R,41038,0.029207294,1405060,1,167807,0.586,Health Care,,,,1,1497115,0.938511738,High,Mid-High,5,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Computers/Internet,2004,OH,MICHAEL,OXLEY,4,MICHAEL G OXLEY,R,150287,0.106961269,1405060,1,167807,0.586,Consumer Discretionary,Information Technology,,,1,1497115,0.938511738,High,Mid-High,3,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,OH,BENJAMIN,KONOP,4,BENJAMIN ZAGHARY KONOP,D,8000,0.086904568,92055,0,118538,0.414,Financials,,,,0,1497115,0.061488262,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Pharmaceuticals/Health Products,2004,OH,BENJAMIN,KONOP,4,BENJAMIN ZAGHARY KONOP,D,1000,0.010863071,92055,0,118538,0.414,Health Care,,,,0,1497115,0.061488262,Very Low,Mid-Low,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Electric Utilities,2004,OH,MICHAEL,OXLEY,4,MICHAEL G OXLEY,R,26500,0.018860405,1405060,1,167807,0.586,Utilities,,,,1,1497115,0.938511738,High,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,OH,MICHAEL,OXLEY,4,MICHAEL G OXLEY,R,859375,0.611628685,1405060,1,167807,0.586,Financials,,,,1,1497115,0.938511738,High,Mid-High,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Chemical & Related Manufacturing,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,22200,0.073386489,302508,1,196649,0.6705,Materials,,,,1,330908,0.914175541,Very Low,High,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Air Transport,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,10000,0.033056977,302508,1,196649,0.6705,Industrials,,,,1,330908,0.914175541,Very Low,High,8,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Food Processing & Sales,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,4826,0.015953297,302508,1,196649,0.6705,Consumer Staples,,,,1,330908,0.914175541,Very Low,High,11,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Automotive,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,54500,0.180160525,302508,1,196649,0.6705,Consumer Discretionary,,,,1,330908,0.914175541,Very Low,High,2,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,23532,0.077789678,302508,1,196649,0.6705,Utilities,,,,1,330908,0.914175541,Very Low,High,4,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,101000,0.333875468,302508,1,196649,0.6705,Financials,,,,1,330908,0.914175541,Very Low,High,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Printing & Publishing,2004,OH,ROBIN,WEIRAUCH,5,ROBIN WEIRAUCH,D,2000,0.070422535,28400,0,96656,0.3295,Consumer Discretionary,Industrials,,,0,330908,0.085824459,Very Low,Mid-Low,2,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Oil & Gas,2004,OH,ROBIN,WEIRAUCH,5,ROBIN WEIRAUCH,D,400,0.014084507,28400,0,96656,0.3295,Energy,,,,0,330908,0.085824459,Very Low,Mid-Low,5,13,Energy,1348.010537,Values0506b,0.628528397,2004
Oil & Gas,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,13750,0.045453343,302508,1,196649,0.6705,Energy,,,,1,330908,0.914175541,Very Low,High,7,13,Energy,1348.010537,Values0506b,0.628528397,2004
Hospitals/Nursing Homes,2004,OH,ROBIN,WEIRAUCH,5,ROBIN WEIRAUCH,D,400,0.014084507,28400,0,96656,0.3295,Health Care,,,,0,330908,0.085824459,Very Low,Mid-Low,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Accountants,2004,OH,ROBIN,WEIRAUCH,5,ROBIN WEIRAUCH,D,1550,0.054577465,28400,0,96656,0.3295,Financials,,,,0,330908,0.085824459,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Telephone Utilities,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,9000,0.029751279,302508,1,196649,0.6705,Telecommunication Services,,,,1,330908,0.914175541,Very Low,High,9,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Pharmaceuticals/Health Products,2004,OH,PAUL,GILLMOR,5,PAUL E GILLMOR,R,8000,0.026445582,302508,1,196649,0.6705,Health Care,,,,1,330908,0.914175541,Very Low,High,10,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Commercial Banks,2004,OH,TED,STRICKLAND,6,TED STRICKLAND,D,6750,0.018092392,373085,1,223844,0.9994,Financials,,,,1,373085,1,Very Low,High,6,14,Financials,5555.739999,Values0506b,0.351064506,2004
Telephone Utilities,2004,OH,TED,STRICKLAND,6,TED STRICKLAND,D,16200,0.04342174,373085,1,223844,0.9994,Telecommunication Services,,,,1,373085,1,Very Low,High,4,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Oil & Gas,2004,OH,TED,STRICKLAND,6,TED STRICKLAND,D,5000,0.013401772,373085,1,223844,0.9994,Energy,,,,1,373085,1,Very Low,High,9,13,Energy,1348.010537,Values0506b,0.628528397,2004
Electric Utilities,2004,OH,TED,STRICKLAND,6,TED STRICKLAND,D,48500,0.129997186,373085,1,223844,0.9994,Utilities,,,,1,373085,1,Very Low,High,2,20,Utilities,846.831177,Values0506b,0.387572063,2004
Computers/Internet,2004,OH,TED,STRICKLAND,6,TED STRICKLAND,D,12050,0.03229827,373085,1,223844,0.9994,Consumer Discretionary,Information Technology,,,1,373085,1,Very Low,High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Pharmaceuticals/Health Products,2004,OH,TED,STRICKLAND,6,TED STRICKLAND,D,5750,0.015412037,373085,1,223844,0.9994,Health Care,,,,1,373085,1,Very Low,High,8,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Air Transport,2004,OH,TED,STRICKLAND,6,TED STRICKLAND,D,6000,0.016082126,373085,1,223844,0.9994,Industrials,,,,1,373085,1,Very Low,High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Food Processing & Sales,2004,OH,KARA,ANASTASIO,7,KARA ANASTASIO,D,250,0.045454545,5500,0,100617,0.3504,Consumer Staples,,,,0,1091632,0.005038328,Very Low,Mid-Low,4,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Construction Services,2004,OH,DAVE,HOBSON,7,DAVE HOBSON,R,149130,0.137303753,1086132,1,186534,0.6496,Industrials,,,,1,1091632,0.994961672,Mid-High,Mid-High,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Electric Utilities,2004,OH,DAVE,HOBSON,7,DAVE HOBSON,R,91833,0.084550497,1086132,1,186534,0.6496,Utilities,,,,1,1091632,0.994961672,Mid-High,Mid-High,5,20,Utilities,846.831177,Values0506b,0.387572063,2004
Commercial Banks,2004,OH,DAVE,HOBSON,7,DAVE HOBSON,R,74975,0.069029363,1086132,1,186534,0.6496,Financials,,,,1,1091632,0.994961672,Mid-High,Mid-High,6,14,Financials,5555.739999,Values0506b,0.351064506,2004
Misc Business,2004,OH,KARA,ANASTASIO,7,KARA ANASTASIO,D,800,0.145454545,5500,0,100617,0.3504,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,1091632,0.005038328,Very Low,Mid-Low,3,18,Materials,994.347645,Values0506b,0.30380417,2004
Oil & Gas,2004,OH,DAVE,HOBSON,7,DAVE HOBSON,R,26750,0.024628682,1086132,1,186534,0.6496,Energy,,,,1,1091632,0.994961672,Mid-High,Mid-High,9,13,Energy,1348.010537,Values0506b,0.628528397,2004
Automotive,2004,OH,DAVE,HOBSON,7,DAVE HOBSON,R,195825,0.180295765,1086132,1,186534,0.6496,Consumer Discretionary,,,,1,1091632,0.994961672,Mid-High,Mid-High,2,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Pharmaceuticals/Health Products,2004,OH,DAVE,HOBSON,7,DAVE HOBSON,R,31654,0.029143787,1086132,1,186534,0.6496,Health Care,,,,1,1091632,0.994961672,Mid-High,Mid-High,7,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Misc Finance,2004,OH,KARA,ANASTASIO,7,KARA ANASTASIO,D,250,0.045454545,5500,0,100617,0.3504,Financials,,,,0,1091632,0.005038328,Very Low,Mid-Low,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Mining,2004,OH,DAVE,HOBSON,7,DAVE HOBSON,R,31250,0.028771825,1086132,1,186534,0.6496,Materials,,,,1,1091632,0.994961672,Mid-High,Mid-High,8,18,Materials,994.347645,Values0506b,0.30380417,2004
Air Transport,2004,OH,JOHN,BOEHNER,8,JOHN BOEHNER,R,22500,0.027397761,821235,1,201675,0.6901,Industrials,,,,1,841085,0.976399532,Mid-Low,High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,OH,JOHN,BOEHNER,8,JOHN BOEHNER,R,263161,0.320445427,821235,1,201675,0.6901,Financials,,,,1,841085,0.976399532,Mid-Low,High,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Crop Production & Basic Processing,2004,OH,JEFF,HARDENBROOK,8,JEFF HARDENBROOK,D,200,0.010075567,19850,0,90574,0.3099,Consumer Staples,,,,0,841085,0.023600468,Very Low,Mid-Low,5,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Agricultural Services/Products,2004,OH,JOHN,BOEHNER,8,JOHN BOEHNER,R,122375,0.149013376,821235,1,201675,0.6901,Consumer Staples,,,,1,841085,0.976399532,Mid-Low,High,4,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Accountants,2004,OH,JEFF,HARDENBROOK,8,JEFF HARDENBROOK,D,700,0.035264484,19850,0,90574,0.3099,Financials,,,,0,841085,0.023600468,Very Low,Mid-Low,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Chemical & Related Manufacturing,2004,OH,JEFF,HARDENBROOK,8,JEFF HARDENBROOK,D,250,0.012594458,19850,0,90574,0.3099,Materials,,,,0,841085,0.023600468,Very Low,Mid-Low,4,18,Materials,994.347645,Values0506b,0.30380417,2004
Electric Utilities,2004,OH,JOHN,BOEHNER,8,JOHN BOEHNER,R,21900,0.026667154,821235,1,201675,0.6901,Utilities,,,,1,841085,0.976399532,Mid-Low,High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Automotive,2004,OH,JOHN,BOEHNER,8,JOHN BOEHNER,R,122050,0.148617631,821235,1,201675,0.6901,Consumer Discretionary,,,,1,841085,0.976399532,Mid-Low,High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Telephone Utilities,2004,OH,LARRY,KACZALA,9,LARRY A KACZALA,R,3500,0.01884253,185750,0,95983,0.3187,Telecommunication Services,,,,0,554725,0.334850602,Very Low,Mid-Low,6,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Accountants,2004,OH,LARRY,KACZALA,9,LARRY A KACZALA,R,36550,0.196769852,185750,0,95983,0.3187,Financials,,,,0,554725,0.334850602,Very Low,Mid-Low,2,14,Financials,5555.739999,Values0506b,0.351064506,2004
Defense Aerospace,2004,OH,MARCY,KAPTUR,9,MARCY KAPTUR,D,14500,0.039298055,368975,1,205149,0.6813,Industrials,,,,1,554725,0.665149398,Very Low,High,5,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Misc Health,2004,OH,MARCY,KAPTUR,9,MARCY KAPTUR,D,8825,0.02391761,368975,1,205149,0.6813,Health Care,,,,1,554725,0.665149398,Very Low,High,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Air Transport,2004,OH,LARRY,KACZALA,9,LARRY A KACZALA,R,15750,0.084791386,185750,0,95983,0.3187,Industrials,,,,0,554725,0.334850602,Very Low,Mid-Low,4,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Agricultural Services/Products,2004,OH,MARCY,KAPTUR,9,MARCY KAPTUR,D,41750,0.113151298,368975,1,205149,0.6813,Consumer Staples,,,,1,554725,0.665149398,Very Low,High,3,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Business Services,2004,OH,MARCY,KAPTUR,9,MARCY KAPTUR,D,23200,0.062876889,368975,1,205149,0.6813,Consumer Discretionary,Industrials,,,1,554725,0.665149398,Very Low,High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Automotive,2004,OH,LARRY,KACZALA,9,LARRY A KACZALA,R,13800,0.074293405,185750,0,95983,0.3187,Consumer Discretionary,,,,0,554725,0.334850602,Very Low,Mid-Low,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Hospitals/Nursing Homes,2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,26697,0.04185539,637839,1,187145,0.6019,Health Care,,,,1,818064,0.779693276,Mid-Low,Mid-High,8,15,Health Care,1854.677021,Values0506b,0.208390015,2004
"Beer, Wine & Liquor",2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,24000,0.03762705,637839,1,187145,0.6019,Consumer Staples,,,,1,818064,0.779693276,Mid-Low,Mid-High,9,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Oil & Gas,2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,113600,0.17810137,637839,1,187145,0.6019,Energy,,,,1,818064,0.779693276,Mid-Low,Mid-High,2,13,Energy,1348.010537,Values0506b,0.628528397,2004
Commercial Banks,2004,OK,DOUG,DODD,1,DOUG DODD,D,8475,0.047024553,180225,0,116731,0.3754,Financials,,,,0,818064,0.220306724,Very Low,Mid-Low,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,37628,0.058992943,637839,1,187145,0.6019,Utilities,,,,1,818064,0.779693276,Mid-Low,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Misc Business,2004,OK,DOUG,DODD,1,DOUG DODD,D,5200,0.028852823,180225,0,116731,0.3754,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,818064,0.220306724,Very Low,Mid-Low,6,18,Materials,994.347645,Values0506b,0.30380417,2004
Commercial Banks,2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,39971,0.062666284,637839,1,187145,0.6019,Financials,,,,1,818064,0.779693276,Mid-Low,Mid-High,5,14,Financials,5555.739999,Values0506b,0.351064506,2004
Air Transport,2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,36750,0.05761642,637839,1,187145,0.6019,Industrials,,,,1,818064,0.779693276,Mid-Low,Mid-High,7,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Hospitals/Nursing Homes,2004,OK,DOUG,DODD,1,DOUG DODD,D,4300,0.023859065,180225,0,116731,0.3754,Health Care,,,,0,818064,0.220306724,Very Low,Mid-Low,7,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Telephone Utilities,2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,18250,0.028612236,637839,1,187145,0.6019,Telecommunication Services,,,,1,818064,0.779693276,Mid-Low,Mid-High,10,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Business Services,2004,OK,DOUG,DODD,1,DOUG DODD,D,5600,0.031072271,180225,0,116731,0.3754,Consumer Discretionary,Industrials,,,0,818064,0.220306724,Very Low,Mid-Low,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Automotive,2004,OK,JOHN,SULLIVAN,1,JOHN SULLIVAN,R,59750,0.093675677,637839,1,187145,0.6019,Consumer Discretionary,,,,1,818064,0.779693276,Mid-Low,Mid-High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Oil & Gas,2004,OK,DOUG,DODD,1,DOUG DODD,D,16900,0.093771674,180225,0,116731,0.3754,Energy,,,,0,818064,0.220306724,Very Low,Mid-Low,3,13,Energy,1348.010537,Values0506b,0.628528397,2004
"Beer, Wine & Liquor",2004,OK,DAN,BOREN,2,DAN BOREN,D,18750,0.021437735,874626,0,179579,0.6589,Consumer Staples,,,,1,890425,0.982256787,Mid-High,Mid-High,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Agricultural Services/Products,2004,OK,WAYLAND,SMALLEY,2,WAYLAND R SMALLEY,R,2260,0.143047028,15799,0,92963,0.3411,Consumer Staples,,,,0,890425,0.017743213,Very Low,Mid-Low,4,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Hospitals/Nursing Homes,2004,OK,WAYLAND,SMALLEY,2,WAYLAND R SMALLEY,R,250,0.015823786,15799,0,92963,0.3411,Health Care,,,,0,890425,0.017743213,Very Low,Mid-Low,5,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Misc Business,2004,OK,WAYLAND,SMALLEY,2,WAYLAND R SMALLEY,R,250,0.015823786,15799,0,92963,0.3411,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,890425,0.017743213,Very Low,Mid-Low,6,18,Materials,994.347645,Values0506b,0.30380417,2004
Automotive,2004,OK,DAN,BOREN,2,DAN BOREN,D,23950,0.027383133,874626,0,179579,0.6589,Consumer Discretionary,,,,1,890425,0.982256787,Mid-High,Mid-High,6,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Misc Manufacturing & Distributing,2004,OK,WAYLAND,SMALLEY,2,WAYLAND R SMALLEY,R,4240,0.268371416,15799,0,92963,0.3411,Consumer Discretionary,Materials,Consumer Staples,Industrials,0,890425,0.017743213,Very Low,Mid-Low,2,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,OK,DAN,BOREN,2,DAN BOREN,D,38070,0.043527176,874626,0,179579,0.6589,Utilities,,,,1,890425,0.982256787,Mid-High,Mid-High,5,20,Utilities,846.831177,Values0506b,0.387572063,2004
Oil & Gas,2004,OK,DAN,BOREN,2,DAN BOREN,D,142490,0.162915349,874626,0,179579,0.6589,Energy,,,,1,890425,0.982256787,Mid-High,Mid-High,3,13,Energy,1348.010537,Values0506b,0.628528397,2004
Accountants,2004,OK,DAN,BOREN,2,DAN BOREN,D,139493,0.159488741,874626,0,179579,0.6589,Financials,,,,1,890425,0.982256787,Mid-High,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Home Builders,2004,OK,FRANK,LUCAS,3,FRANK D LUCAS,R,9000,0.025549238,352261,1,215510,0.8221,Industrials,,,,1,352261,1,Very Low,High,9,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Telephone Utilities,2004,OK,FRANK,LUCAS,3,FRANK D LUCAS,R,9250,0.026258939,352261,1,215510,0.8221,Telecommunication Services,,,,1,352261,1,Very Low,High,8,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Oil & Gas,2004,OK,FRANK,LUCAS,3,FRANK D LUCAS,R,43250,0.122778281,352261,1,215510,0.8221,Energy,,,,1,352261,1,Very Low,High,3,13,Energy,1348.010537,Values0506b,0.628528397,2004
Automotive,2004,OK,FRANK,LUCAS,3,FRANK D LUCAS,R,21150,0.060040708,352261,1,215510,0.8221,Consumer Discretionary,,,,1,352261,1,Very Low,High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,OK,FRANK,LUCAS,3,FRANK D LUCAS,R,13249,0.037611317,352261,1,215510,0.8221,Utilities,,,,1,352261,1,Very Low,High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Accountants,2004,OK,FRANK,LUCAS,3,FRANK D LUCAS,R,116050,0.329443225,352261,1,215510,0.8221,Financials,,,,1,352261,1,Very Low,High,1,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,OK,FRANK,LUCAS,3,FRANK D LUCAS,R,89750,0.254782675,352261,1,215510,0.8221,Consumer Staples,,,,1,352261,1,Very Low,High,2,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Air Transport,2004,OK,TOM,COLE,4,TOM COLE,R,48292,0.075277114,641523,1,198985,0.7777,Industrials,,,,1,641523,1,Mid-Low,High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,OK,TOM,COLE,4,TOM COLE,R,77304,0.120500746,641523,1,198985,0.7777,Energy,,,,1,641523,1,Mid-Low,High,5,13,Energy,1348.010537,Values0506b,0.628528397,2004
Accountants,2004,OK,TOM,COLE,4,TOM COLE,R,101642,0.158438591,641523,1,198985,0.7777,Financials,,,,1,641523,1,Mid-Low,High,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,OK,TOM,COLE,4,TOM COLE,R,81500,0.127041431,641523,1,198985,0.7777,Consumer Discretionary,,,,1,641523,1,Mid-Low,High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,OK,TOM,COLE,4,TOM COLE,R,14450,0.022524524,641523,1,198985,0.7777,Utilities,,,,1,641523,1,Mid-Low,High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Food & Beverage,2004,OK,TOM,COLE,4,TOM COLE,R,14000,0.021823068,641523,1,198985,0.7777,Consumer Staples,,,,1,641523,1,Mid-Low,High,8,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Commercial Banks,2004,OK,ERNEST,ISTOOK,5,ERNEST J ISTOOK,R,33500,0.032840079,1020095,1,180430,0.6606,Financials,,,,1,1023445,0.996726742,Mid-High,Mid-High,8,14,Financials,5555.739999,Values0506b,0.351064506,2004
Air Transport,2004,OK,ERNEST,ISTOOK,5,ERNEST J ISTOOK,R,180210,0.176660017,1020095,1,180430,0.6606,Industrials,,,,1,1023445,0.996726742,Mid-High,Mid-High,2,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,OK,BERT,SMITH,5,BERT SMITH,D,1000,0.298507463,3350,0,92719,0.3394,Energy,,,,0,1023445,0.003273258,Very Low,Mid-Low,2,13,Energy,1348.010537,Values0506b,0.628528397,2004
Oil & Gas,2004,OK,ERNEST,ISTOOK,5,ERNEST J ISTOOK,R,67700,0.066366368,1020095,1,180430,0.6606,Energy,,,,1,1023445,0.996726742,Mid-High,Mid-High,5,13,Energy,1348.010537,Values0506b,0.628528397,2004
Commercial Banks,2004,OK,BERT,SMITH,5,BERT SMITH,D,250,0.074626866,3350,0,92719,0.3394,Financials,,,,0,1023445,0.003273258,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Electric Utilities,2004,OK,ERNEST,ISTOOK,5,ERNEST J ISTOOK,R,43036,0.042188228,1020095,1,180430,0.6606,Utilities,,,,1,1023445,0.996726742,Mid-High,Mid-High,6,20,Utilities,846.831177,Values0506b,0.387572063,2004
Building Materials & Equipment,2004,OK,ERNEST,ISTOOK,5,ERNEST J ISTOOK,R,34332,0.033655689,1020095,1,180430,0.6606,Materials,Industrials,,,1,1023445,0.996726742,Mid-High,Mid-High,7,18,Materials,994.347645,Values0506b,0.30380417,2004
