KEY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,WINNER,rank 1,rank 2,rank 3,rank 4,rank 5,AMOUNT of 1,AMOUNT of 2,AMOUNT of 3,AMOUNT of 4,AMOUNT of 5
AL|5|MARK|BRAY|2014,2014,AL,MARK,BRAY,5,MARK BRAY,I,0.045248869,11050,0,38830,0.252,L,Not for profit,Not publicly traded,Consumer Discretionary,Materials,Financials,7200,2500,500,500,350
AL|5|MO|BROOKS|2014,2014,AL,MO,BROOKS,5,MO BROOKS,R,0.036692567,407712,1,115212,0.748,W,Industrials,Not for profit,Not publicly traded,Financials,Information Technology,159850,65742,53060,34400,21700
AL|6|GARY|PALMER|2014,2014,AL,GARY,PALMER,6,GARY PALMER,R,0.021817001,1182564,0,135711,0.763,W,Not for profit,Not publicly traded,Financials,Industrials,Materials,498206,266483,231525,68500,31600
AL|6|MARK|LESTER|2014,2014,AL,MARK,LESTER,6,MARK LESTER,D,0.09129889,61337,0,42172,0.237,L,Not for profit,Not publicly traded,Consumer Discretionary,Industrials,Telecommunication Services,31200,19051,5600,1436,1000
AL|7|TERRI|SEWELL|2014,2014,AL,TERRI,SEWELL,7,TERRI A SEWELL,D,0.047471134,984809,1,NA,NA,L,Financials,Not for profit,Not publicly traded,Consumer Discretionary,Materials,420202,200700,200257,46750,34300
AL|S|JEFF|SESSIONS|2014,2014,AL,JEFF,SESSIONS,S,JEFF SESSIONS,R,0.056921842,1027725,1,NA,NA,L,Not for profit,Industrials,Not publicly traded,Financials,Energy,197450,189300,168853,115250,89250
AR|1|JACKIE|MCPHERSON|2014,2014,AR,JACKIE,MCPHERSON,1,JACKIE MCPHERSON,D,0.08351985,151461,0,62902,0.324,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Materials,81950,24261,12650,7500,6950
AR|1|RICK|CRAWFORD|2014,2014,AR,RICK,CRAWFORD,1,RICK CRAWFORD,R,0.04993975,557672,1,122722,0.632,W,Consumer Staples,Not for profit,Industrials,Financials,Not publicly traded,231816,104452,55604,48623,46907
AR|2|FRENCH|HILL|2014,2014,AR,FRENCH,HILL,2,FRENCH HILL,R,0.036593548,1313073,0,123014,0.519,W,Not for profit,Financials,Not publicly traded,Energy,Consumer Discretionary,538993,396860,176670,86350,48050
AR|2|PATRICK|HAYS|2014,2014,AR,PATRICK,HAYS,2,PATRICK HENRY HAYS,D,0.060059718,879125,0,103379,0.436,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Industrials,546809,209410,52800,31431,21775
AR|3|STEVE|WOMACK|2014,2014,AR,STEVE,WOMACK,3,STEVE WOMACK,R,0.27980783,592185,1,151093,0.794,W,Consumer Discretionary,Industrials,Consumer Staples,Not for profit,Not publicly traded,165698,136776,87156,80605,50850
AR|4|BRUCE|WESTERMAN|2014,2014,AR,BRUCE,WESTERMAN,4,BRUCE WESTERMAN,R,0.086041055,677630,0,110163,0.537,W,Not for profit,Financials,Materials,Not publicly traded,Consumer Discretionary,266200,84792,80033,76235,58304
AR|4|JAMES|WITT|2014,2014,AR,JAMES,WITT,4,JAMES LEE WITT,D,0.097710712,658065,0,87335,0.426,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Consumer Staples,346150,159754,64300,20511,20500
AR|S|MARK|PRYOR|2014,2014,AR,MARK,PRYOR,S,MARK PRYOR,D,0.093805826,5618489,1,332669,0.395,L,Not publicly traded,Not for profit,Consumer Discretionary,Financials,Consumer Staples,1968786,1219437,527047,406050,367850
AR|S|TOM|COTTON|2014,2014,AR,TOM,COTTON,S,TOM COTTON,R,0.068164439,7375488,0,476309,0.565,W,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Energy,2895564,1910987,1110235,502746,463055
AZ|1|ANDY|TOBIN|2014,2014,AZ,ANDY,TOBIN,1,ANDY TOBIN,R,0.175404124,936409,0,85693,0.475,L,Not for profit,Consumer Discretionary,Not publicly traded,Financials,Consumer Staples,396675,164250,140800,92400,72734
AZ|1|ANN|KIRKPATRICK|2014,2014,AZ,ANN,KIRKPATRICK,1,ANN KIRKPATRICK,D,0.022112011,1628798,1,94551,0.525,W,Not for profit,Not publicly traded,Industrials,Consumer Discretionary,Utilities,1259545,200266,64721,36016,34250
AZ|2|MARTHA|MCSALLY|2014,2014,AZ,MARTHA,MCSALLY,2,MARTHA MCSALLY,R,0.128509353,2252552,0,108230,0.5,W,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Energy,1198030,322450,293148,289474,46700
AZ|2|RON|BARBER|2014,2014,AZ,RON,BARBER,2,RON BARBER,D,0.049826432,1832140,1,108051,0.5,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Health Care,1321346,232524,92633,91289,52350
AZ|3|GABRIELA|MERCER|2014,2014,AZ,GABRIELA,MERCER,3,GABRIELA SAUCEDO MERCER,R,0.198455732,46106,0,45877,0.444,L,Not for profit,Consumer Discretionary,Financials,Telecommunication Services,Materials,25510,9150,4513,2000,1834
AZ|3|RAUL|GRIJALVA|2014,2014,AZ,RAUL,GRIJALVA,3,RAUL M GRIJALVA,D,0.111369192,377573,1,57398,0.556,W,Not for profit,Not publicly traded,Consumer Discretionary,Consumer Staples,Health Care,214981,60142,42050,22650,13000
AZ|4|MIKEL|WEISSER|2014,2014,AZ,MIKEL,WEISSER,4,MIKEL WEISSER,D,0.128205128,3900,0,44680,0.258,L,Not for profit,Health Care,Consumer Discretionary,Industrials,Materials,2200,750,500,250,200
AZ|4|PAUL|GOSAR|2014,2014,AZ,PAUL,GOSAR,4,PAUL GOSAR,R,0.075669383,343600,1,121020,0.7,W,Not for profit,Not publicly traded,Utilities,Consumer Discretionary,Materials,174650,31500,28850,26000,21450
AZ|5|JAMES|WOODS|2014,2014,AZ,JAMES,WOODS,5,JAMES WOODS,D,0.030301194,33002,0,54575,0.304,L,Not for profit,Materials,Not publicly traded,Consumer Discretionary,Industrials,25152,4100,1300,1000,500
AZ|5|MATT|SALMON|2014,2014,AZ,MATT,SALMON,5,MATT SALMON,R,0.064024795,520111,1,124801,0.696,W,Not for profit,Not publicly traded,Health Care,Industrials,Energy,163200,111211,67950,61450,33300
AZ|6|DAVID|SCHWEIKERT|2014,2014,AZ,DAVID,SCHWEIKERT,6,DAVID SCHWEIKERT,R,0.13322165,488284,1,129527,0.649,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Health Care,151400,104034,85950,65050,23350
AZ|7|JOE|COBB|2014,2014,AZ,JOE,COBB,7,JOE COBB,I,1,2600,0,10715,0.148,L,Not for profit,NULL,NULL,NULL,NULL,2600,0,0,0,0
AZ|7|RUBEN|GALLEGO|2014,2014,AZ,RUBEN,GALLEGO,7,RUBEN GALLEGO,D,0.078541799,495405,0,54222,0.75,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Utilities,262921,143516,38910,23175,15750
AZ|8|TRENT|FRANKS|2014,2014,AZ,TRENT,FRANKS,8,TRENT FRANKS,R,0.139818773,273690,1,128653,0.758,W,Not for profit,Industrials,Not publicly traded,Consumer Discretionary,Telecommunication Services,65650,63450,45523,38267,20350
AZ|9|KYRSTEN|SINEMA|2014,2014,AZ,KYRSTEN,SINEMA,9,KYRSTEN SINEMA,D,0.023805753,2051899,1,88436,0.547,W,Not for profit,Not publicly traded,Financials,Health Care,Consumer Discretionary,1136035,458434,310633,97950,48847
AZ|9|WENDY|ROGERS|2014,2014,AZ,WENDY,ROGERS,9,WENDY ROGERS,R,0.059103612,850168,0,67681,0.419,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Industrials,552245,115205,71020,50248,34200
CA|1|DOUG|LAMALFA|2014,2014,CA,DOUG,LAMALFA,1,DOUG LAMALFA,R,0.161004224,506819,1,110258,0.619,W,Consumer Staples,Consumer Discretionary,Financials,Not for profit,Energy,235912,81600,44607,43850,36500
CA|1|HEIDI|HALL|2014,2014,CA,HEIDI,HALL,1,HEIDI HALL,D,0.034973731,64334,0,67938,0.381,L,Not for profit,Not publicly traded,Health Care,Information Technology,Consumer Discretionary,50184,6050,2550,2500,2250
CA|2|JARED|HUFFMAN|2014,2014,CA,JARED,HUFFMAN,2,JARED HUFFMAN,D,0.051024216,536020,1,117397,0.739,W,Not for profit,Not publicly traded,Consumer Staples,Consumer Discretionary,Financials,298812,83039,64320,27350,26250
CA|3|DAN|LOGUE|2014,2014,CA,DAN,LOGUE,3,DAN LOGUE,R,0.020248608,444475,0,62494,0.478,L,Consumer Staples,Not for profit,Not publicly traded,Energy,Industrials,202375,110300,63300,29950,18350
CA|3|JOHN|GARAMENDI|2014,2014,CA,JOHN,GARAMENDI,3,JOHN GARAMENDI,D,0.138630293,815839,1,68303,0.522,W,Not for profit,Industrials,Not publicly traded,Consumer Staples,Financials,357020,153847,117535,113100,74337
CA|4|ART|MOORE|2014,2014,CA,ART,MOORE,4,ART MOORE,R,0.113819259,112459,0,68601,0.395,L,Not for profit,Not publicly traded,Industrials,Other,Consumer Discretionary,37035,16400,13100,13025,12800
CA|4|TOM|MCCLINTOCK|2014,2014,CA,TOM,MCCLINTOCK,4,TOM MCCLINTOCK,R,0.040299766,620351,1,104900,0.605,W,Not for profit,Not publicly traded,Energy,Financials,Consumer Staples,303476,85875,67600,45650,40050
CA|5|MIKE|THOMPSON|2014,2014,CA,MIKE,THOMPSON,5,MIKE THOMPSON,D,0.051159018,1250024,1,97446,0.758,W,Not for profit,Financials,Consumer Staples,Health Care,Not publicly traded,313600,288849,280451,125150,124275
CA|6|DORIS|MATSUI|2014,2014,CA,DORIS,MATSUI,6,DORIS O MATSUI,D,0.078451984,772447,1,80258,0.724,W,Not for profit,Not publicly traded,Telecommunication Services,Health Care,Consumer Discretionary,195845,137293,103500,86750,60600
CA|6|JOSEPH|MCCRAY|2014,2014,CA,JOSEPH,MCCRAY,6,JOSEPH MCCRAY SR,R,1,300,0,30607,0.276,L,Not publicly traded,NULL,NULL,NULL,NULL,300,0,0,0,0
CA|7|AMI|BERA|2014,2014,CA,AMI,BERA,7,AMI BERA,D,0.020016973,2518063,1,92394,0.504,W,Not for profit,Not publicly traded,Financials,Health Care,Information Technology,1754735,241547,205857,156500,109020
CA|7|DOUG|OSE|2014,2014,CA,DOUG,OSE,7,DOUG OSE,R,0.049265367,1023640,0,90962,0.496,L,Not for profit,Not publicly traded,Consumer Staples,Financials,Consumer Discretionary,365356,300804,158450,66650,50430
CA|8|BOB|CONAWAY|2014,2014,CA,BOB,CONAWAY,8,BOB CONAWAY,D,0.075097627,3329,0,35414,0.322,L,Not publicly traded,Not for profit,NULL,NULL,NULL,3079,250,0,0,0
CA|8|PAUL|COOK|2014,2014,CA,PAUL,COOK,8,PAUL COOK,R,0.163877635,519595,1,74678,0.678,W,Not for profit,Industrials,Consumer Discretionary,Not publicly traded,Materials,203750,90500,85150,72095,40200
CA|9|JERRY|MCNERNEY|2014,2014,CA,JERRY,MCNERNEY,9,JERRY MCNERNEY,D,0.073034397,782508,1,46762,0.522,W,Not for profit,Not publicly traded,Consumer Discretionary,Telecommunication Services,Utilities,452254,126723,57150,41250,33949
CA|9|TONY|AMADOR|2014,2014,CA,TONY,AMADOR,9,TONY AMADOR,R,0.01471887,33970,0,42783,0.478,L,Not for profit,Consumer Staples,Energy,Industrials,Financials,16250,12570,2600,750,500
CA|10|JEFF|DENHAM|2014,2014,CA,JEFF,DENHAM,10,JEFF DENHAM,R,0.092073508,1716661,1,62750,0.564,W,Consumer Staples,Not for profit,Not publicly traded,Consumer Discretionary,Industrials,540421,366145,304409,158059,156550
CA|10|MICHAEL|EGGMAN|2014,2014,CA,MICHAEL,EGGMAN,10,MICHAEL EGGMAN,D,0.080645917,747093,0,48510,0.436,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Information Technology,478558,130025,60250,49410,28850
CA|11|MARK|DESAULNIER|2014,2014,CA,MARK,DESAULNIER,11,MARK DESAULNIER,D,0.034974133,357407,0,106989,0.669,W,Not for profit,Not publicly traded,Industrials,Consumer Staples,Energy,247034,65600,24773,12500,7500
CA|11|TUE|QUANG|2014,2014,CA,TUE,QUANG,11,TUE PHAN QUANG,R,0.147877351,60726,0,53023,0.331,L,Not for profit,Not publicly traded,Consumer Discretionary,Industrials,Information Technology,26211,12750,8980,6350,1800
CA|12|JOHN|DENNIS|2014,2014,CA,JOHN,DENNIS,12,JOHN DENNIS,R,0.037178176,53795,0,30485,0.169,L,Not for profit,Financials,Not publicly traded,Materials,Consumer Discretionary,37035,5400,2820,2020,2000
CA|12|NANCY|PELOSI|2014,2014,CA,NANCY,PELOSI,12,NANCY PELOSI,D,0.118828309,1448266,1,150390,0.831,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Health Care,753121,212550,172095,171750,57100
CA|13|BARBARA|LEE|2014,2014,CA,BARBARA,LEE,13,BARBARA LEE,D,0.097600184,574794,1,166182,0.884,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Health Care,301144,127150,56100,33500,25700
CA|13|DAKIN|SUNDEEN|2014,2014,CA,DAKIN,SUNDEEN,13,DAKIN SUNDEEN,R,1,2400,0,21756,0.116,L,Not for profit,NULL,NULL,NULL,NULL,2400,0,0,0,0
CA|14|JACKIE|SPEIER|2014,2014,CA,JACKIE,SPEIER,14,JACKIE SPEIER,D,0.09488937,671835,1,89009,0.762,W,Not for profit,Not publicly traded,Health Care,Financials,Consumer Discretionary,294364,94870,94450,92800,63750
CA|14|ROBIN|CHEW|2014,2014,CA,ROBIN,CHEW,14,ROBIN LEO CHEW,R,0.046728972,10700,0,27806,0.238,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,NULL,6450,3000,750,500,0
CA|15|ERIC|SWALWELL|2014,2014,CA,ERIC,SWALWELL,15,ERIC SWALWELL,D,0.03069097,1062332,1,98511,0.698,W,Not for profit,Not publicly traded,Health Care,Consumer Staples,Information Technology,388725,285088,107700,79535,76305
CA|15|HUGH|BUSSELL|2014,2014,CA,HUGH,BUSSELL,15,HUGH BUSSELL,R,0.042372881,11800,0,42556,0.302,L,Not for profit,Consumer Staples,NULL,NULL,NULL,11300,500,0,0,0
CA|16|JIM|COSTA|2014,2014,CA,JIM,COSTA,16,JIM COSTA,D,0.024967012,969279,1,46245,0.507,W,Consumer Staples,Not publicly traded,Not for profit,Energy,Utilities,436200,173595,137935,100999,35500
CA|16|JOHNNY|TACHERRA|2014,2014,CA,JOHNNY,TACHERRA,16,JOHNNY TACHERRA,R,0.627653189,174931,0,44926,0.493,L,Consumer Staples,Not for profit,Not publicly traded,Materials,Industrials,109796,32160,26825,4300,1550
CA|17|MIKE|HONDA|2014,2014,CA,MIKE,HONDA,17,MIKE HONDA,D,0.049294746,1705131,1,68001,0.518,W,Not for profit,Not publicly traded,Information Technology,Consumer Discretionary,Financials,1046950,326637,132790,84054,59900
CA|17|RO|KHANNA|2014,2014,CA,RO,KHANNA,17,RO KHANNA,D,0.17516178,1974900,0,63293,0.482,L,Financials,Consumer Discretionary,Not for profit,Information Technology,Not publicly traded,733940,345927,306513,261345,210975
CA|18|ANNA|ESHOO|2014,2014,CA,ANNA,ESHOO,18,ANNA ESHOO,D,0.109383826,1141869,1,119532,0.674,W,Not for profit,Health Care,Financials,Not publicly traded,Telecommunication Services,245700,201609,158150,142825,137100
CA|18|RICHARD|FOX|2014,2014,CA,RICHARD,FOX,18,RICHARD FOX,R,0.859882006,33900,0,57895,0.326,L,Not for profit,Not publicly traded,NULL,NULL,NULL,29150,4750,0,0,0
CA|19|ZOE|LOFGREN|2014,2014,CA,ZOE,LOFGREN,19,ZOE LOFGREN,D,0.190889115,795488,1,82965,0.675,W,Not publicly traded,Consumer Discretionary,Not for profit,Financials,Information Technology,156850,151850,141680,128500,109200
CA|20|SAM|FARR|2014,2014,CA,SAM,FARR,20,SAM FARR,D,0.112723365,504332,1,77305,0.743,W,Not for profit,Consumer Staples,Consumer Discretionary,Not publicly traded,Energy,177601,172102,56850,49200,17200
CA|21|AMANDA|RENTERIA|2014,2014,CA,AMANDA,RENTERIA,21,AMANDA RENTERIA,D,0.037312075,988956,0,29244,0.415,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Health Care,638893,212288,60575,36900,25000
CA|21|DAVID|VALADAO|2014,2014,CA,DAVID,VALADAO,21,DAVID VALADAO,R,0.067176432,1659064,1,41167,0.585,W,Consumer Staples,Not for profit,Consumer Discretionary,Energy,Not publicly traded,794621,472894,111450,81950,76550
CA|22|DEVIN|NUNES|2014,2014,CA,DEVIN,NUNES,22,DEVIN NUNES,R,0.105297809,1452053,1,80356,0.723,W,Consumer Staples,Financials,Not publicly traded,Consumer Discretionary,Health Care,391646,323250,154225,152898,148900
CA|22|SUZANNA|MARREROAGUILERA|2014,2014,CA,SUZANNA,MARREROAGUILERA,22,SUZANNA MARREROAGUILERA,D,0.08583691,6990,0,30734,0.277,L,Not for profit,Industrials,Not publicly traded,NULL,NULL,6190,600,200,0,0
CA|23|KEVIN|MCCARTHY|2014,2014,CA,KEVIN,MCCARTHY,23,KEVIN MCCARTHY,R,0.0284195,3618994,1,94308,0.754,W,Financials,Not publicly traded,Consumer Staples,Not for profit,Health Care,997994,680100,464757,433950,357050
CA|23|RAUL|GARCIA|2014,2014,CA,RAUL,GARCIA,23,RAUL GARCIA,D,1,7050,0,30834,0.246,L,Not for profit,NULL,NULL,NULL,NULL,7050,0,0,0,0
CA|24|CHRISTOPHER|MITCHUM|2014,2014,CA,CHRISTOPHER,MITCHUM,24,CHRISTOPHER MITCHUM,R,0.101911823,140808,0,91103,0.483,L,Not for profit,Not publicly traded,Consumer Discretionary,Consumer Staples,Financials,75825,29638,14350,10200,9545
CA|24|LOIS|CAPPS|2014,2014,CA,LOIS,CAPPS,24,LOIS CAPPS,D,0.061117052,1431679,1,97363,0.517,W,Not for profit,Not publicly traded,Consumer Discretionary,Health Care,Telecommunication Services,1072239,128440,87500,80250,37000
CA|25|STEVE|KNIGHT|2014,2014,CA,STEVE,KNIGHT,25,STEVE KNIGHT,R,0.178406011,204029,0,53952,0.534,W,Not for profit,Not publicly traded,Consumer Discretionary,Consumer Staples,Financials,77595,37760,36400,23050,10200
CA|25|TONY|STRICKLAND|2014,2014,CA,TONY,STRICKLAND,25,TONY STRICKLAND,R,0.096565304,1198039,0,47094,0.466,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Energy,393600,267500,251250,115689,55200
CA|26|JEFF|GORELL|2014,2014,CA,JEFF,GORELL,26,JEFF GORELL,R,0.094639627,787725,0,77478,0.492,L,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Consumer Staples,359749,126350,123926,74550,51300
CA|26|JULIA|BROWNLEY|2014,2014,CA,JULIA,BROWNLEY,26,JULIA BROWNLEY,D,0.066803707,1962930,1,79848,0.508,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Information Technology,1524570,220879,131131,52250,34100
CA|27|JACK|ORSWELL|2014,2014,CA,JACK,ORSWELL,27,JACK ORSWELL,R,0.024741452,101045,0,47443,0.411,L,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Materials,79695,11100,6250,2500,1000
CA|27|JUDY|CHU|2014,2014,CA,JUDY,CHU,27,JUDY CHU,D,0.138105478,532926,1,67884,0.589,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Telecommunication Services,255146,108040,73600,37900,16100
CA|28|ADAM|SCHIFF|2014,2014,CA,ADAM,SCHIFF,28,ADAM SCHIFF,D,0.127964995,581409,1,77761,0.76,W,Not for profit,Not publicly traded,Consumer Discretionary,Industrials,Financials,214966,166143,74400,46750,34550
CA|28|STEVE|STOKES|2014,2014,CA,STEVE,STOKES,28,STEVE STOKES,I,1,2245,0,24513,0.24,L,Not for profit,NULL,NULL,NULL,NULL,2245,0,0,0,0
CA|29|TONY|CARDENAS|2014,2014,CA,TONY,CARDENAS,29,TONY CARDENAS,D,0.241766336,634013,1,41419,0.742,W,Not for profit,Consumer Discretionary,Not publicly traded,Financials,Health Care,168230,153283,131348,78652,49600
CA|30|BRAD|SHERMAN|2014,2014,CA,BRAD,SHERMAN,30,BRAD SHERMAN,D,0.091796375,878575,1,71736,0.65,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Health Care,401500,176925,172950,80650,46550
CA|30|MARK|REED|2014,2014,CA,MARK,REED,30,MARK REED,R,0.519706242,4085,0,38626,0.35,L,Consumer Discretionary,Not for profit,Not publicly traded,Financials,NULL,2123,985,492,485,0
CA|31|PAUL|CHABOT|2014,2014,CA,PAUL,CHABOT,31,PAUL CHABOT,R,0.148093299,216080,0,46362,0.486,L,Not for profit,Consumer Discretionary,Not publicly traded,Financials,Materials,140130,32000,17900,12150,10400
CA|31|PETE|AGUILAR|2014,2014,CA,PETE,AGUILAR,31,PETE AGUILAR,D,0.060218575,1163445,0,48960,0.514,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,NULL,827669,239815,70061,25900,0
CA|32|ART|ALAS|2014,2014,CA,ART,ALAS,32,ART ALAS,R,0.083507307,23950,0,30518,0.407,L,Not publicly traded,Materials,Consumer Staples,Other,Not for profit,8350,4000,3500,2600,2250
CA|32|GRACE|NAPOLITANO|2014,2014,CA,GRACE,NAPOLITANO,32,GRACE NAPOLITANO,D,0.040442066,264576,1,44504,0.593,W,Not for profit,Industrials,Not publicly traded,Consumer Staples,Consumer Discretionary,98000,65000,46550,23576,10700
CA|33|ELAN|CARR|2014,2014,CA,ELAN,CARR,33,ELAN CARR,R,0.079008216,789285,0,65981,0.414,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Materials,295170,224408,151437,62360,21300
CA|33|TED|LIEU|2014,2014,CA,TED,LIEU,33,TED LIEU,D,0.108814178,1090391,0,93544,0.586,W,Not for profit,Not publicly traded,Consumer Discretionary,Health Care,Financials,517338,277800,118650,66257,43396
CA|34|XAVIER|BECERRA|2014,2014,CA,XAVIER,BECERRA,34,XAVIER BECERRA,D,0.081707524,1228773,1,37389,0.731,W,Not for profit,Financials,Not publicly traded,Health Care,Consumer Discretionary,371250,282800,216783,113150,100400
CA|35|CHRISTINA|GAGNIER|2014,2014,CA,CHRISTINA,GAGNIER,35,CHRISTINA GAGNIER,D,0.131034483,29000,0,21471,0.367,L,Not for profit,Financials,Not publicly traded,Consumer Discretionary,NULL,12350,6850,6000,3800,0
CA|35|NORMA|TORRES|2014,2014,CA,NORMA,TORRES,35,NORMA TORRES,D,0.068643082,343079,0,36992,0.633,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Health Care,233100,37929,23550,19500,15800
CA|36|BRIAN|NESTANDE|2014,2014,CA,BRIAN,NESTANDE,36,BRIAN NESTANDE,R,0.12985537,774323,0,58445,0.462,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Consumer Staples,324298,154925,107800,100550,33450
CA|36|RAUL|RUIZ|2014,2014,CA,RAUL,RUIZ,36,RAUL RUIZ,D,0.09668624,1998123,1,67970,0.538,W,Not for profit,Not publicly traded,Consumer Discretionary,Health Care,Financials,1382126,231021,193191,120560,71225
CA|37|KAREN|BASS|2014,2014,CA,KAREN,BASS,37,KAREN BASS,D,0.311710753,727434,1,79699,0.839,W,Consumer Discretionary,Not for profit,Not publicly traded,Financials,Telecommunication Services,226749,225810,135350,43925,38000
CA|37|R|KING|2014,2014,CA,R,KING,37,R ADAM KING,R,0.049019608,5100,0,15291,0.161,L,Industrials,Not publicly traded,Not for profit,Materials,Health Care,2600,1000,500,500,250
CA|38|BENJAMIN|CAMPOS|2014,2014,CA,BENJAMIN,CAMPOS,38,BENJAMIN CAMPOS,R,1,650,0,36448,0.413,L,Not for profit,NULL,NULL,NULL,NULL,650,0,0,0,0
CA|38|LINDA|SANCHEZ|2014,2014,CA,LINDA,SANCHEZ,38,LINDA SANCHEZ,D,0.060297082,903858,1,51862,0.587,W,Not for profit,Not publicly traded,Financials,Health Care,Consumer Discretionary,321325,182126,155000,103611,54500
CA|39|ED|ROYCE|2014,2014,CA,ED,ROYCE,39,ED ROYCE,R,0.049554994,1958511,1,86748,0.688,W,Financials,Not for profit,Not publicly traded,Consumer Discretionary,Energy,749277,560164,354965,97054,64150
CA|39|PETER|ANDERSON|2014,2014,CA,PETER,ANDERSON,39,PETER O ANDERSON,D,1,3200,0,39300,0.312,L,Not for profit,NULL,NULL,NULL,NULL,3200,0,0,0,0
CA|40|LUCILLE|ROYBALALLARD|2014,2014,CA,LUCILLE,ROYBALALLARD,40,LUCILLE ROYBALALLARD,D,0.084843832,359484,1,26687,0.616,W,Not for profit,Not publicly traded,Health Care,Consumer Staples,Industrials,186300,65786,34698,30500,13000
CA|41|MARK|TAKANO|2014,2014,CA,MARK,TAKANO,41,MARK A TAKANO,D,0.100247965,762609,1,43180,0.56,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Information Technology,422975,184518,76450,28166,22300
CA|41|STEVE|ADAMS|2014,2014,CA,STEVE,ADAMS,41,STEVE ADAMS,R,0.141349121,127698,0,33902,0.44,L,Not for profit,Not publicly traded,Industrials,Consumer Discretionary,Financials,42850,21748,19300,18050,12950
